Config,Type,AcceptedTrades,RejectedTrades,RejectedRatePct,Full_Trades,Full_EndEquity,Full_NetProfitYen,Full_ReturnPct,Full_MaxDDYen,Full_MaxDDPct,Full_MoneyRoMD,Full_PF_Yen,Full_WorstWeekReturnPct,IS_Trades,IS_EndEquity,IS_NetProfitYen,IS_ReturnPct,IS_MaxDDYen,IS_MaxDDPct,IS_MoneyRoMD,IS_PF_Yen,IS_WorstWeekReturnPct,OOS_Trades,OOS_EndEquity,OOS_NetProfitYen,OOS_ReturnPct,OOS_MaxDDYen,OOS_MaxDDPct,OOS_MoneyRoMD,OOS_PF_Yen,OOS_WorstWeekReturnPct,Q1_Trades,Q1_EndEquity,Q1_NetProfitYen,Q1_ReturnPct,Q1_MaxDDYen,Q1_MaxDDPct,Q1_MoneyRoMD,Q1_PF_Yen,Q1_WorstWeekReturnPct,Delta_Full_NetProfitYen,Delta_Full_MaxDDPct,Delta_Full_MoneyRoMD,Delta_OOS_NetProfitYen,Delta_OOS_MaxDDPct,Delta_OOS_MoneyRoMD,Delta_Q1_NetProfitYen,Delta_Q1_MaxDDPct,Delta_Q1_MoneyRoMD
V2_H1_ATR14_Pips_LTE_P70,v2,10557,4708,30.84,10557,82063800842.0,82063300842.0,16412660.17,6846949876.0,42.18,11.99,1.43,-21.6,9611,20661753483.0,20661253483.0,4132250.7,2157903422.0,42.18,9.57,1.379,-21.6,946,82063800842.0,61402047360.0,297.18,6846949876.0,16.74,8.97,1.451,-8.24,182,82063800842.0,22250769611.0,37.2,6846949876.0,8.23,3.25,1.466,-6.89,-6550345501190795.0,-0.7700000000000031,5.67,-6033073197392639.0,-9.020000000000003,3.1500000000000004,-1813984205454412.0,-6.889999999999999,1.5
V2_H1_ATR14_Pips_LTE_P75,v2,11349,3916,25.65,11349,482092266068.0,482091766068.0,96418353.21,49999615504.0,43.07,9.64,1.442,-22.1,10297,91462003962.0,91461503962.0,18292300.79,9503525917.0,43.07,9.62,1.411,-22.1,1052,482092266068.0,390630262106.0,427.1,49999615504.0,17.02,7.81,1.45,-10.29,208,482092266068.0,140399304160.0,41.09,49999615504.0,11.92,2.81,1.43,-6.89,-6549945472725569.0,0.11999999999999744,3.3200000000000003,-6032743969177893.0,-8.740000000000002,1.9899999999999993,-1813866056919863.0,-3.1999999999999993,1.06
V2_Range24hPips_LTE_P70,v2,10610,4655,30.49,10610,980244330067.0,980243830067.0,196048766.01,97447957319.0,39.92,10.06,1.403,-25.59,9612,222324106945.0,222323606945.0,44464721.39,34784154255.0,39.92,6.39,1.408,-25.59,998,980244330067.0,757920223123.0,340.91,97447957319.0,17.21,7.78,1.402,-9.23,203,980244330067.0,261994369373.0,36.48,97447957319.0,12.12,2.69,1.372,-5.28,-6549447320661570.0,-3.030000000000001,3.74,-6032376679216876.0,-8.55,1.96,-1813744461854650.0,-3.0,0.94
V2_Range24hPips_LTE_P75,v2,11393,3872,25.37,11393,2067338002069.0,2067337502069.0,413467500.41,295519942099.0,39.77,7.0,1.36,-23.9,10295,426831053301.0,426830553301.0,85366110.66,84494414936.0,39.77,5.05,1.357,-23.9,1098,2067338002069.0,1640506948768.0,384.35,295519942099.0,17.96,5.55,1.361,-9.53,233,2067338002069.0,485681373039.0,30.71,295519942099.0,16.72,1.64,1.265,-7.2,-6548360226989568.0,-3.1799999999999997,0.6799999999999997,-6031494092491231.0,-7.800000000000001,-0.27000000000000046,-1813520774850984.0,1.5999999999999996,-0.1100000000000001
V2_PrevDayRangePips_LTE_P70,v2,10592,4673,30.61,10592,556672256205.0,556671756205.0,111334351.24,72987658869.0,41.31,7.63,1.396,-24.98,9607,124333556050.0,124333056050.0,24866611.21,21986160182.0,41.31,5.66,1.457,-24.98,985,556672256205.0,432338700155.0,347.72,72987658869.0,18.91,5.92,1.381,-11.01,212,556672256205.0,119965224053.0,27.47,72987658869.0,13.99,1.64,1.27,-6.59,-6549870892735432.0,-1.6400000000000006,1.3099999999999996,-6032702260739844.0,-6.850000000000001,0.09999999999999964,-1813886490999970.0,-1.129999999999999,-0.1100000000000001
V2_DayToEntryRangePips_LTE_P70,v2,9953,5312,34.8,9953,303864357209.0,303863857209.0,60772771.44,32299775905.0,39.96,9.41,1.461,-20.9,9040,59107962559.0,59107462559.0,11821492.51,7039794152.0,39.96,8.4,1.401,-20.9,913,303864357209.0,244756394651.0,414.08,32299775905.0,19.12,7.58,1.478,-9.77,194,303864357209.0,92581315790.0,43.82,32299775905.0,13.12,2.87,1.428,-5.16,-6550123700634428.0,-2.990000000000002,3.09,-6032889843045348.0,-6.640000000000001,1.7599999999999998,-1813913874908233.0,-2.0,1.12
V2_Range24hPips_LTE_P80,v2,12166,3099,20.3,12166,6845678124811.0,6845677624811.0,1369135524.96,965000324654.0,42.11,7.09,1.37,-26.94,10980,1239455863953.0,1239455363953.0,247891072.79,184377930600.0,42.11,6.72,1.384,-26.94,1186,6845678124811.0,5606222260858.0,452.31,965000324654.0,19.63,5.81,1.367,-9.53,255,6845678124811.0,1771629472455.0,34.92,965000324654.0,16.68,1.84,1.277,-7.2,-6543581886866826.0,-0.8400000000000034,0.7699999999999996,-6027528377179141.0,-6.130000000000003,-0.010000000000000675,-1812234826751568.0,1.5600000000000005,0.09000000000000008
V2_H1_ATR14_Pips_LTE_P80,v2,12128,3137,20.55,12128,1518545686250.0,1518545186250.0,303709037.25,192824206946.0,45.4,7.88,1.36,-27.99,10979,322385532527.0,322385032527.0,64477006.51,39530624602.0,45.4,8.16,1.39,-27.99,1149,1518545686250.0,1196160153723.0,371.03,192824206946.0,19.79,6.2,1.353,-11.77,226,1518545686250.0,376931221494.0,33.02,192824206946.0,14.16,1.95,1.306,-6.39,-6548909019305387.0,2.4499999999999957,1.5599999999999996,-6031938439286276.0,-5.970000000000002,0.3799999999999999,-1813629525002529.0,-0.9599999999999991,0.19999999999999996
V2_DayToEntryRangePips_LTE_P75,v2,10666,4599,30.13,10666,1490520332021.0,1490519832021.0,298103966.4,190613425381.0,40.2,7.82,1.438,-22.63,9685,257515924080.0,257515424080.0,51503084.82,29966776436.0,40.2,8.59,1.396,-22.63,981,1490520332021.0,1233004407940.0,478.81,190613425381.0,19.98,6.47,1.448,-9.77,207,1490520332021.0,373038212485.0,33.38,190613425381.0,15.13,1.96,1.307,-7.56,-6548937044659616.0,-2.75,1.5,-6031901595032059.0,-5.780000000000001,0.6499999999999995,-1813633418011538.0,0.010000000000001563,0.20999999999999996
V1_MaxJPYSameDir_3,v1,13196,2069,13.55,13196,340884573822665.0,340884573322665.0,68176914664.53,55637808658394.0,41.47,6.13,1.32,-21.57,11807,32079755374244.0,32079754874244.0,6415950974.85,3295014536223.0,41.47,9.74,1.443,-21.57,1389,340884573822665.0,308804818448421.0,962.62,55637808658394.0,21.67,5.55,1.311,-12.06,310,340884573822665.0,65124151748540.0,23.62,55637808658394.0,15.34,1.17,1.137,-8.48,-6209542991168972.0,-1.480000000000004,-0.1900000000000004,-5724329780991578.0,-4.09,-0.27000000000000046,-1748882304475483.0,0.22000000000000064,-0.5800000000000001
V2_Range24hPips_LTE_P85,v2,12948,2317,15.18,12948,21026378653713.0,21026378153713.0,4205275630.74,2828898813897.0,42.11,7.43,1.342,-28.83,11666,3526144688542.0,3526144188542.0,705228837.71,394373461217.0,42.11,8.94,1.433,-28.83,1282,21026378653713.0,17500233965171.0,496.3,2828898813897.0,22.29,6.19,1.328,-9.83,284,21026378653713.0,5579100287722.0,36.12,2828898813897.0,14.97,1.97,1.237,-6.14,-6529401186337924.0,-0.8400000000000034,1.1099999999999994,-6015634365474828.0,-3.4700000000000024,0.3700000000000001,-1808427355936301.0,-0.14999999999999858,0.21999999999999997
V2_PrevDayRangePips_LTE_P80,v2,12146,3119,20.43,12146,8810157049336.0,8810156549336.0,1762031309.87,1605655772916.0,41.81,5.49,1.359,-26.7,10981,1576971382297.0,1576970882297.0,315394176.46,294760360397.0,41.81,5.35,1.466,-26.7,1165,8810157049336.0,7233185667038.0,458.68,1605655772916.0,22.42,4.5,1.342,-11.84,256,8810157049336.0,1871892777688.0,26.98,1605655772916.0,19.54,1.17,1.215,-6.59,-6541617407942301.0,-1.1400000000000006,-0.8300000000000001,-6025901413772961.0,-3.34,-1.3200000000000003,-1812134563446335.0,4.42,-0.5800000000000001
V2_PrevDayRangePips_LTE_P75,v2,11380,3885,25.45,11380,1514405295443.0,1514404795443.0,302880959.09,265693871287.0,41.2,5.7,1.37,-26.7,10305,314194302124.0,314193802124.0,62838760.42,56554002538.0,41.2,5.56,1.496,-26.7,1075,1514405295443.0,1200210993319.0,382.0,265693871287.0,22.51,4.52,1.347,-11.35,234,1514405295443.0,292043185814.0,23.89,265693871287.0,18.55,1.1,1.211,-6.59,-6548913159696194.0,-1.75,-0.6200000000000001,-6031934388446680.0,-3.25,-1.3000000000000007,-1813714413038209.0,3.4300000000000015,-0.6499999999999999
V2_PrevDayRangePips_LTE_P85,v2,12921,2344,15.36,12921,20777493447081.0,20777492947081.0,4155498589.42,4106489645323.0,46.58,5.06,1.321,-30.83,11666,3761338003799.0,3761337503799.0,752267500.76,527722428906.0,46.58,7.13,1.44,-30.83,1255,20777493447081.0,17016155443283.0,452.4,4106489645323.0,22.61,4.14,1.303,-11.84,272,20777493447081.0,4508508605295.0,27.71,4106489645323.0,21.25,1.1,1.205,-6.59,-6529650071544556.0,3.6299999999999955,-1.2600000000000007,-6016118443996716.0,-3.150000000000002,-1.6800000000000006,-1809497947618728.0,6.130000000000001,-0.6499999999999999
V1_MaxTrades_7_JPY_3_AUD_2,v1,10982,4283,28.06,10982,21583788164421.0,21583787664421.0,4316757532.88,2836559608451.0,31.27,7.61,1.311,-16.4,9756,3501181759805.0,3501181259805.0,700236251.96,290193195965.0,31.27,12.07,1.511,-16.4,1226,21583788164421.0,18082606404616.0,516.47,2836559608451.0,23.44,6.37,1.289,-12.06,251,21583788164421.0,3366211426684.0,18.48,2836559608451.0,13.32,1.19,1.125,-5.29,-6528843776827216.0,-11.680000000000003,1.29,-6015051993035383.0,-2.3200000000000003,0.5499999999999998,-1810640244797339.0,-1.799999999999999,-0.56
V1_MaxTrades_8_JPY_3_AUD_2,v1,10982,4283,28.06,10982,21583788164421.0,21583787664421.0,4316757532.88,2836559608451.0,31.27,7.61,1.311,-16.4,9756,3501181759805.0,3501181259805.0,700236251.96,290193195965.0,31.27,12.07,1.511,-16.4,1226,21583788164421.0,18082606404616.0,516.47,2836559608451.0,23.44,6.37,1.289,-12.06,251,21583788164421.0,3366211426684.0,18.48,2836559608451.0,13.32,1.19,1.125,-5.29,-6528843776827216.0,-11.680000000000003,1.29,-6015051993035383.0,-2.3200000000000003,0.5499999999999998,-1810640244797339.0,-1.799999999999999,-0.56
V1_MaxTrades_5_JPY_3_AUD_2,v1,10465,4800,31.44,10465,7409222168355.0,7409221668355.0,1481844333.67,1051353552155.0,31.51,7.05,1.299,-16.65,9322,1416342574985.0,1416342074985.0,283268415.0,156110638823.0,31.51,9.07,1.489,-16.65,1143,7409222168355.0,5992879593370.0,423.12,1051353552155.0,24.31,5.7,1.274,-13.19,242,7409222168355.0,862993301082.0,13.18,1051353552155.0,14.21,0.82,1.092,-7.78,-6543018342823282.0,-11.440000000000001,0.7299999999999995,-6027141719846629.0,-1.4500000000000028,-0.1200000000000001,-1813143462922941.0,-0.9099999999999984,-0.93
V1_MaxTrades_7,v1,13511,1754,11.49,13511,608790833155740.0,608790832655740.0,121758166531.15,105200575059760.0,36.49,5.79,1.321,-20.6,12081,48798463859455.0,48798463359455.0,9759692671.89,4387129486026.0,36.49,11.12,1.47,-20.6,1430,608790833155740.0,559992369296285.0,1147.56,105200575059760.0,24.36,5.32,1.312,-12.38,314,608790833155740.0,130516949426940.0,27.29,105200575059760.0,15.1,1.24,1.147,-8.07,-5941636731835897.0,-6.460000000000001,-0.5300000000000002,-5473142230143714.0,-1.4000000000000021,-0.5,-1683489506797083.0,-0.019999999999999574,-0.51
V1_MaxTrades_7_JPY_3_AUD_3,v1,12208,3057,20.03,12208,152072081469309.0,152072080969309.0,30414416193.86,24820593305799.0,34.24,6.13,1.296,-16.4,10894,20322227689958.0,20322227189958.0,4064445437.99,2045461538050.0,34.24,9.94,1.463,-16.4,1314,152072081469309.0,131749853779351.0,648.3,24820593305799.0,25.08,5.31,1.28,-12.06,286,152072081469309.0,21635077334831.0,16.59,24820593305799.0,15.34,0.87,1.1,-8.48,-6398355483522328.0,-8.71,-0.1900000000000004,-5901384745660648.0,-0.6800000000000033,-0.5100000000000007,-1792371378889192.0,0.22000000000000064,-0.88
V1_MaxTrades_8_JPY_3_AUD_3,v1,12222,3043,19.93,12222,152318995641772.0,152318995141772.0,30463799028.35,24860893643619.0,34.24,6.13,1.295,-16.4,10906,20523530335402.0,20523529835402.0,4104705967.08,2065722939755.0,34.24,9.94,1.464,-16.4,1316,152318995641772.0,131795465306370.0,642.17,24860893643619.0,25.08,5.3,1.279,-12.06,286,152318995641772.0,21670205460682.0,16.59,24860893643619.0,15.34,0.87,1.1,-8.48,-6398108569349865.0,-8.71,-0.1900000000000004,-5901339134133629.0,-0.6800000000000033,-0.5200000000000005,-1792336250763341.0,0.22000000000000064,-0.88
V1_MaxTrades_5_JPY_3_AUD_3,v1,10943,4322,28.31,10943,14451569217666.0,14451568717666.0,2890313743.53,3164864244170.0,32.77,4.57,1.272,-18.02,9761,2505446131606.0,2505445631606.0,501089126.32,353861945427.0,32.77,7.08,1.428,-18.02,1182,14451569217666.0,11946123086060.0,476.81,3164864244170.0,25.25,3.77,1.253,-13.9,254,14451569217666.0,428577277113.0,3.06,3164864244170.0,17.97,0.14,1.02,-13.9,-6535975995773971.0,-10.18,-1.75,-6021188476353939.0,-0.5100000000000016,-2.0500000000000003,-1813577878946910.0,2.8499999999999996,-1.6099999999999999
V1_MaxTrades_6_JPY_3_AUD_2,v1,10962,4303,28.19,10962,20776490193560.0,20776489693560.0,4155297938.71,2730463829588.0,31.27,7.61,1.313,-16.4,9748,3404497736751.0,3404497236751.0,680899447.35,282179602963.0,31.27,12.07,1.514,-16.4,1214,20776490193560.0,17371992456809.0,510.27,2730463829588.0,25.57,6.36,1.291,-12.06,251,20776490193560.0,3240305092099.0,18.48,2730463829588.0,13.32,1.19,1.125,-5.29,-6529651074798077.0,-11.680000000000003,1.29,-6015762606983190.0,-0.19000000000000128,0.54,-1810766151131924.0,-1.799999999999999,-0.56
Base_NoFilter,base,15265,0,0.0,15265,6550427564991637.0,6550427564491637.0,1310085512898.33,1037057763728614.0,42.95,6.32,1.325,-26.91,13724,517292965551638.0,517292965051638.0,103458593010.33,50769879924488.0,42.95,10.19,1.518,-26.91,1541,6550427564991637.0,6033134599439999.0,1166.29,1037057763728614.0,25.76,5.82,1.315,-12.86,348,6550427564991637.0,1814006456224023.0,38.3,1037057763728614.0,15.12,1.75,1.194,-6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V1_MaxTrades_6_JPY_2_AUD_2,v1,9870,5395,35.34,9870,1730465616677.0,1730465116677.0,346093023.34,250458039810.0,28.62,6.91,1.282,-13.63,8751,386698011888.0,386697511888.0,77339502.38,52415720115.0,28.62,7.38,1.389,-13.63,1119,1730465616677.0,1343767604789.0,347.5,250458039810.0,26.52,5.37,1.261,-12.76,228,1730465616677.0,198786691893.0,12.98,250458039810.0,13.31,0.79,1.099,-8.48,-6548697099374960.0,-14.330000000000002,0.5899999999999999,-6031790831835210.0,0.759999999999998,-0.4500000000000002,-1813807669532130.0,-1.8099999999999987,-0.96
V1_MaxTrades_7_JPY_2_AUD_2,v1,9870,5395,35.34,9870,1730465616677.0,1730465116677.0,346093023.34,250458039810.0,28.62,6.91,1.282,-13.63,8751,386698011888.0,386697511888.0,77339502.38,52415720115.0,28.62,7.38,1.389,-13.63,1119,1730465616677.0,1343767604789.0,347.5,250458039810.0,26.52,5.37,1.261,-12.76,228,1730465616677.0,198786691893.0,12.98,250458039810.0,13.31,0.79,1.099,-8.48,-6548697099374960.0,-14.330000000000002,0.5899999999999999,-6031790831835210.0,0.759999999999998,-0.4500000000000002,-1813807669532130.0,-1.8099999999999987,-0.96
V1_MaxTrades_8_JPY_2_AUD_2,v1,9870,5395,35.34,9870,1730465616677.0,1730465116677.0,346093023.34,250458039810.0,28.62,6.91,1.282,-13.63,8751,386698011888.0,386697511888.0,77339502.38,52415720115.0,28.62,7.38,1.389,-13.63,1119,1730465616677.0,1343767604789.0,347.5,250458039810.0,26.52,5.37,1.261,-12.76,228,1730465616677.0,198786691893.0,12.98,250458039810.0,13.31,0.79,1.099,-8.48,-6548697099374960.0,-14.330000000000002,0.5899999999999999,-6031790831835210.0,0.759999999999998,-0.4500000000000002,-1813807669532130.0,-1.8099999999999987,-0.96
V2_Range24hPips_LTE_P95,v2,14519,746,4.89,14519,221010944007250.0,221010943507250.0,44202188701.45,31997631988362.0,42.95,6.91,1.32,-26.25,13037,24664438648618.0,24664438148618.0,4932887629.72,2366467663932.0,42.95,10.42,1.457,-26.25,1482,221010944007250.0,196346505358632.0,796.07,31997631988362.0,26.56,6.14,1.308,-11.83,341,221010944007250.0,58305424438531.0,35.83,31997631988362.0,15.7,1.82,1.192,-6.68,-6329416620984387.0,0.0,0.5899999999999999,-5836788094081367.0,0.7999999999999972,0.3199999999999994,-1755701031785492.0,0.5800000000000001,0.07000000000000006
V2_H1_ATR14_Pips_LTE_P85,v2,12915,2350,15.39,12915,9717430281825.0,9717429781825.0,1943485956.36,1503690998467.0,42.97,6.46,1.341,-24.43,11665,1917433523548.0,1917433023548.0,383486604.71,197738262766.0,42.97,9.7,1.48,-24.43,1250,9717430281825.0,7799996758277.0,406.79,1503690998467.0,26.78,5.19,1.318,-13.92,257,9717430281825.0,2265377005760.0,30.4,1503690998467.0,16.6,1.51,1.232,-6.39,-6540710134709812.0,0.01999999999999602,0.13999999999999968,-6025334602681722.0,1.0199999999999996,-0.6299999999999999,-1811741079218263.0,1.4800000000000022,-0.24
V2_Range24hPips_LTE_P90,v2,13740,1525,9.99,13740,41987728090789.0,41987727590789.0,8397545518.16,6239293442464.0,42.95,6.73,1.286,-28.16,12350,7396079794205.0,7396079294205.0,1479215858.84,899406647658.0,42.95,8.22,1.433,-28.16,1390,41987728090789.0,34591648296584.0,467.7,6239293442464.0,27.29,5.54,1.266,-11.83,313,41987728090789.0,8333867376786.0,24.76,6239293442464.0,16.11,1.34,1.146,-6.39,-6508439836900848.0,0.0,0.41000000000000014,-5998542951143415.0,1.5299999999999976,-0.28000000000000025,-1805672588847237.0,0.9900000000000002,-0.4099999999999999
V1_MaxTrades_5_JPY_2_AUD_2,v1,9820,5445,35.67,9820,1888568013477.0,1888567513477.0,377713502.7,279857333413.0,28.62,6.75,1.279,-13.63,8717,445440217913.0,445439717913.0,89087943.58,57429227733.0,28.62,7.76,1.397,-13.63,1103,1888568013477.0,1443127795565.0,323.98,279857333413.0,27.51,5.16,1.255,-13.19,227,1888568013477.0,177097382068.0,10.35,279857333413.0,13.31,0.63,1.079,-10.61,-6548538996978160.0,-14.330000000000002,0.4299999999999997,-6031691471644434.0,1.75,-0.6600000000000001,-1813829358841955.0,-1.8099999999999987,-1.12
V1_MaxTrades_6_JPY_3_AUD_3,v1,11892,3373,22.1,11892,79003390340662.0,79003389840662.0,15800677968.13,13304315873792.0,32.63,5.94,1.282,-16.4,10615,12101846313878.0,12101845813878.0,2420369162.78,1176361442986.0,32.63,10.29,1.455,-16.4,1277,79003390340662.0,66901544026785.0,552.82,13304315873792.0,27.91,5.03,1.264,-12.06,277,79003390340662.0,7529444490901.0,10.53,13304315873792.0,15.68,0.57,1.065,-8.83,-6471424174650975.0,-10.32,-0.3799999999999999,-5966233055413214.0,2.1499999999999986,-0.79,-1806477011733122.0,0.5600000000000005,-1.1800000000000002
V2_H1_ATR14_Pips_LTE_P95,v2,14484,781,5.12,14484,244102648798412.0,244102648298412.0,48820529659.68,31007748928273.0,42.95,7.87,1.329,-27.33,13035,32633770666093.0,32633770166093.0,6526754033.22,3263906644564.0,42.95,10.0,1.454,-27.33,1449,244102648798412.0,211468878132319.0,648.01,31007748928273.0,28.91,6.82,1.315,-12.86,333,244102648798412.0,72857747645913.0,42.55,31007748928273.0,15.12,2.35,1.232,-6.39,-6306324916193225.0,0.0,1.5499999999999998,-5821665721307680.0,3.1499999999999986,1.0,-1741148708578110.0,0.0,0.6000000000000001
V2_DayToEntryRangePips_LTE_P80,v2,11401,3864,25.31,11401,2728391576765.0,2728391076765.0,545678215.35,421589846963.0,41.76,6.47,1.434,-23.95,10332,445649539093.0,445649039093.0,89129807.82,53557987424.0,41.76,8.32,1.407,-23.95,1069,2728391576765.0,2282742037672.0,512.23,421589846963.0,29.03,5.41,1.439,-12.55,232,2728391576765.0,795973593858.0,41.19,421589846963.0,18.95,1.89,1.334,-8.62,-6547699173414872.0,-1.1900000000000048,0.14999999999999947,-6030851857402327.0,3.2699999999999996,-0.41000000000000014,-1813210482630165.0,3.83,0.1399999999999999
V2_H1_ATR14_Pips_LTE_P90,v2,13706,1559,10.21,13706,17915736058968.0,17915735558968.0,3583147111.79,2340735205331.0,42.95,7.65,1.34,-25.65,12350,2891774427177.0,2891773927177.0,578354785.44,462467554682.0,42.95,6.25,1.391,-25.65,1356,17915736058968.0,15023961631791.0,519.54,2340735205331.0,29.04,6.42,1.332,-13.92,295,17915736058968.0,5683475891528.0,46.46,2340735205331.0,15.25,2.43,1.286,-6.39,-6532511828932669.0,0.0,1.33,-6018110637808208.0,3.2799999999999976,0.5999999999999996,-1808322980332495.0,0.13000000000000078,0.6800000000000002
V2_DayToEntryRangePips_LTE_P95,v2,13624,1641,10.75,13624,187572450849564.0,187572450349564.0,37514490069.91,29980418369494.0,41.74,6.26,1.321,-29.12,12263,24022511194073.0,24022510694073.0,4804502138.81,1875826721683.0,41.74,12.81,1.585,-29.12,1361,187572450849564.0,163549939655490.0,680.82,29980418369494.0,29.04,5.46,1.301,-11.97,314,187572450849564.0,43885990269401.0,30.54,29980418369494.0,16.66,1.46,1.17,-6.65,-6362855114142073.0,-1.2100000000000009,-0.0600000000000005,-5869584659784509.0,3.2799999999999976,-0.3600000000000003,-1770120465954622.0,1.540000000000001,-0.29000000000000004
V1_MaxTrades_7_JPY_2_AUD_3,v1,10865,4400,28.82,10865,8090431792979.0,8090431292979.0,1618086258.6,1498964448614.0,31.66,5.4,1.267,-14.59,9660,1527667810967.0,1527667310967.0,305533462.19,239051152818.0,31.66,6.39,1.37,-14.59,1205,8090431792979.0,6562763982011.0,429.59,1498964448614.0,29.41,4.38,1.251,-12.76,259,8090431792979.0,677243495379.0,9.14,1498964448614.0,16.19,0.45,1.062,-11.6,-6542337133198658.0,-11.290000000000003,-0.9199999999999999,-6026571835457988.0,3.6499999999999986,-1.4400000000000004,-1813329212728644.0,1.070000000000002,-1.3
V1_MaxTrades_8_JPY_2_AUD_3,v1,10867,4398,28.81,10867,8352289045612.0,8352288545612.0,1670457709.12,1547480364990.0,31.66,5.4,1.267,-14.59,9662,1577112748661.0,1577112248661.0,315422449.73,246788351489.0,31.66,6.39,1.37,-14.59,1205,8352289045612.0,6775176296951.0,429.59,1547480364990.0,29.41,4.38,1.251,-12.76,259,8352289045612.0,699163353997.0,9.14,1547480364990.0,16.19,0.45,1.062,-11.6,-6542075275946025.0,-11.290000000000003,-0.9199999999999999,-6026359423143048.0,3.6499999999999986,-1.4400000000000004,-1813307292870026.0,1.070000000000002,-1.3
V1_MaxTrades_6_JPY_2_AUD_3,v1,10803,4462,29.23,10803,8062182878136.0,8062182378136.0,1612436475.63,1493730597054.0,31.78,5.4,1.261,-14.59,9605,1610319280828.0,1610318780828.0,322063756.17,254700021321.0,31.78,6.32,1.362,-14.59,1198,8062182878136.0,6451863597309.0,400.66,1493730597054.0,29.41,4.32,1.244,-12.76,256,8062182878136.0,497138959717.0,6.57,1493730597054.0,16.19,0.33,1.045,-11.6,-6542365382113501.0,-11.170000000000002,-0.9199999999999999,-6026682735842690.0,3.6499999999999986,-1.5,-1813509317264306.0,1.070000000000002,-1.42
V1_MaxTrades_5_JPY_2_AUD_3,v1,10415,4850,31.77,10415,3175174497556.0,3175173997556.0,635034799.51,701766499994.0,29.94,4.52,1.258,-16.51,9268,654466117820.0,654465617820.0,130893123.56,106280431000.0,28.33,6.16,1.363,-16.51,1147,3175174497556.0,2520708379736.0,385.15,701766499994.0,29.94,3.59,1.239,-14.08,244,3175174497556.0,25473463367.0,0.81,701766499994.0,18.36,0.04,1.006,-14.08,-6547252390494081.0,-13.010000000000002,-1.8000000000000007,-6030613891060263.0,4.18,-2.2300000000000004,-1813980982760656.0,3.24,-1.71
V2_DayToEntryRangePips_LTE_P90,v2,12870,2395,15.69,12870,38210228559803.0,38210228059803.0,7642045611.96,4603065709634.0,44.09,8.3,1.37,-29.12,11619,5377141963322.0,5377141463322.0,1075428292.66,645759901806.0,44.09,8.33,1.47,-29.12,1251,38210228559803.0,32833086596481.0,610.6,4603065709634.0,31.89,7.13,1.357,-14.89,282,38210228559803.0,11492870257713.0,43.02,4603065709634.0,14.63,2.5,1.27,-6.14,-6512217336431834.0,1.1400000000000006,1.9800000000000004,-6000301512843518.0,6.129999999999999,1.3099999999999996,-1802513585966310.0,-0.48999999999999844,0.75
V2_PrevDayRangePips_LTE_P95,v2,14507,758,4.97,14507,520280264432543.0,520280263932543.0,104056052786.51,82370300593536.0,42.95,6.32,1.321,-27.65,13036,65818536777664.0,65818536277664.0,13163707255.53,6245968970140.0,42.95,10.54,1.519,-27.65,1471,520280264432543.0,454461727654879.0,690.48,82370300593536.0,32.96,5.52,1.304,-15.66,332,520280264432543.0,148634647255425.0,39.99,82370300593536.0,15.12,1.8,1.211,-6.68,-6030147300559094.0,0.0,0.0,-5578672871785120.0,7.199999999999999,-0.3000000000000007,-1665371808968598.0,0.0,0.050000000000000044
V2_PrevDayRangePips_LTE_P90,v2,13716,1549,10.15,13716,52756266859198.0,52756266359198.0,10551253271.84,7245750218439.0,43.5,7.28,1.302,-32.42,12351,10112328790403.0,10112328290403.0,2022465658.08,1303127224203.0,43.5,7.76,1.472,-32.42,1365,52756266859198.0,42643938068795.0,421.7,7245750218439.0,34.06,5.89,1.278,-17.04,300,52756266859198.0,13979790813853.0,36.05,7245750218439.0,15.78,1.93,1.222,-6.39,-6497671298132439.0,0.5499999999999972,0.96,-5990490661371204.0,8.3,0.0699999999999994,-1800026665410170.0,0.6600000000000001,0.17999999999999994
V2_DayToEntryRangePips_LTE_P85,v2,12134,3131,20.51,12134,12916227545556.0,12916227045556.0,2583245409.11,2151096517426.0,41.86,6.0,1.365,-23.95,10976,2303899003972.0,2303898503972.0,460779700.79,297004712663.0,41.86,7.76,1.393,-23.95,1158,12916227545556.0,10612328541584.0,460.62,2151096517426.0,34.54,4.93,1.359,-15.77,254,12916227545556.0,3493062365809.0,37.07,2151096517426.0,19.99,1.62,1.278,-8.62,-6537511337446081.0,-1.0900000000000034,-0.3200000000000003,-6022522270898415.0,8.779999999999998,-0.8900000000000006,-1810513393858214.0,4.869999999999999,-0.1299999999999999
