Strategy,Group,SelectedOption,SelectionReason,PlateauFlag,PlateauOptions,Base_Full_MoneyRoMD,Selected_Full_MoneyRoMD,Base_OOS_MoneyRoMD,Selected_OOS_MoneyRoMD,Base_Q1_MoneyRoMD,Selected_Q1_MoneyRoMD,Base_Full_MaxDDPct,Selected_Full_MaxDDPct,Base_OOS_MaxDDPct,Selected_OOS_MaxDDPct,Base_Q1_MaxDDPct,Selected_Q1_MaxDDPct,AcceptedRatePct
10_AJ_SatA,CrossJPY_16,NONE,Hold_TooFewOOSTrades,TooFewValidChoices,,0.59,0.59,-0.02,-0.02,-0.02,-0.02,13.41,13.41,3.0,3.0,3.0,3.0,100.0
11_AJ_SatB,CrossJPY_16,NONE,Hold_TooFewOOSTrades,TooFewValidChoices,,4.54,4.54,0.94,0.94,0.94,0.94,11.46,11.46,2.95,2.95,2.95,2.95,100.0
12_UJ_Short_Core,CrossJPY_16,P75,PlateauBased_SinglePeak,SinglePeak,P75,9.73,19.0,2.03,4.89,-0.65,0.1,9.66,6.82,9.66,3.96,8.52,2.0,70.64
13_UJ_Fix_MidWeek,CrossJPY_16,P90,PlateauBased_SinglePeak,SinglePeak,P90,18.43,18.18,3.25,19.68,28.84,,1.71,1.67,1.71,0.29,0.07,0.0,91.98
14_UJ_Sat_3rd,CrossJPY_16,NONE,Hold_TooFewFullTrades,TooFewValidChoices,,18.97,18.97,4.05,4.05,,,3.25,3.25,2.0,2.0,0.0,0.0,100.0
15_UJ_Sat_Aug,CrossJPY_16,NONE,Hold_TooFewFullTrades,TooFewValidChoices,,4.29,4.29,0.25,0.25,,,7.1,7.1,3.81,3.81,0.0,0.0,100.0
16_UJ_T10A,CrossJPY_16,NONE,Hold_TooFewFullTrades,TooFewValidChoices,,7.8,7.8,1.18,1.18,-0.27,-0.27,2.44,2.44,2.44,2.44,2.44,2.44,100.0
17_EA_1B_Wed_Short,EA_Rev4,NONE,AvoidSinglePeak,SinglePeak,P75,7.53,7.53,4.47,4.47,1.14,1.14,8.61,8.61,3.41,3.41,1.27,1.27,100.0
18_EA_2_MonWed_Short,EA_Rev4,P75,PlateauBased_SinglePeak,SinglePeak,P75,0.92,2.15,0.39,0.72,0.1,0.91,39.69,19.02,38.82,16.18,25.02,3.69,75.49
19_EA_3_WedThu_Long,EA_Rev4,P75,PlateauBased_Plateau,Plateau,"P70,P75",8.77,11.92,1.46,2.42,0.22,0.55,13.45,7.3,7.8,4.78,5.53,4.78,76.28
1_EJ_Log1,CrossJPY_16,P80,PlateauBased_SinglePeak,SinglePeak,P80,6.06,9.53,0.67,1.15,-0.96,-0.94,19.5,15.6,13.69,7.8,8.31,6.21,80.2
20_EA_1A_MonTue_Short,EA_Rev4,NONE,NoRobustCandidate,SinglePeak,P95,1.38,1.38,0.35,0.35,0.08,0.08,23.22,23.22,23.22,23.22,13.19,13.19,100.0
21_GA_B_3,GA,P90,PlateauBased_SinglePeak,SinglePeak,P90,1.01,2.02,-0.21,0.53,-0.03,0.24,12.58,8.34,7.42,3.93,7.16,2.84,90.64
22_GA_C_2,GA,P80,PlateauBased_SinglePeak,SinglePeak,P80,1.93,2.09,0.2,0.59,0.34,0.41,22.2,18.48,22.2,17.16,21.36,14.27,85.97
23_GA_F_2,GA,NONE,NoRobustCandidate,WeakPlateau,"P70,P90",1.55,1.55,0.37,0.37,-0.0,-0.0,17.92,17.92,16.82,16.82,10.09,10.09,100.0
24_GA_D_1,GA,P85,PlateauBased_StrongPlateau,StrongPlateau,"P70,P75,P80,P85",3.91,3.47,-0.12,0.31,0.23,0.15,9.06,8.67,9.06,7.19,7.52,4.29,85.1
25_AU_China_Demand,China_Demand,NONE,NoRobustCandidate,SinglePeak,P90,9.69,9.69,2.96,2.96,0.95,0.95,14.78,14.78,5.18,5.18,3.97,3.97,100.0
26_AJ_China_Demand,China_Demand,P95,PlateauBased_SinglePeak,SinglePeak,P95,13.78,13.64,2.02,2.02,2.02,2.02,8.23,7.55,3.73,3.73,3.73,3.73,94.67
27_EA_China_Demand,China_Demand,NONE,NoRobustCandidate,StrongPlateau,"P75,P80,P95",10.38,10.38,3.94,3.94,-0.15,-0.15,10.65,10.65,4.68,4.68,4.68,4.68,100.0
28_GA_China_Demand,China_Demand,NONE,NoRobustCandidate,StrongPlateau,"P85,P90,P95",5.95,5.95,7.56,7.56,0.55,0.55,12.29,12.29,3.44,3.44,3.3,3.3,100.0
2_EJ_NightBlitz_20,CrossJPY_16,P85,PlateauBased_SinglePeak,SinglePeak,P85,6.41,10.28,0.57,1.2,0.73,1.03,14.39,13.93,13.7,8.36,4.62,2.43,82.85
3_EJ_NightBlitz_21,CrossJPY_16,P95,PlateauBased_SinglePeak,SinglePeak,P95,8.23,10.85,1.71,2.1,4.43,3.89,9.86,8.37,9.37,6.4,1.09,1.09,94.35
4_GJ_Port_Log1,CrossJPY_16,P95,PlateauBased_SinglePeak,SinglePeak,P95,12.66,12.38,3.16,3.57,3.13,3.13,5.1,5.84,4.25,3.27,1.26,1.26,93.79
5_GJ_Port_Log2,CrossJPY_16,P95,PlateauBased_Plateau,Plateau,"P90,P95",5.06,5.4,0.6,0.62,-0.12,-0.14,17.45,17.45,15.91,14.3,9.51,7.79,95.65
6_GJ_Old_Mon,CrossJPY_16,NONE,AvoidSinglePeak,SinglePeak,P70,10.91,10.91,5.16,5.16,0.85,0.85,23.93,23.93,4.89,4.89,2.0,2.0,100.0
7_GJ_Mon_Blitz,CrossJPY_16,P95,PlateauBased_Plateau,Plateau,"P90,P95",5.34,4.97,2.91,3.18,0.7,0.62,10.62,9.28,3.4,2.99,1.74,1.83,94.7
8_AJ_Core1,CrossJPY_16,NONE,AvoidSinglePeak,SinglePeak,,8.89,8.89,-0.39,-0.39,-0.39,-0.39,9.29,9.29,5.93,5.93,5.93,5.93,100.0
9_AJ_Core2,CrossJPY_16,NONE,Hold_TooFewOOSTrades,TooFewValidChoices,,4.7,4.7,0.19,0.19,0.19,0.19,14.83,14.83,10.41,10.41,10.41,10.41,100.0
